ID_Transacao,Data,Investidor,Ativo,Valor_Aporte,Rendimento_Mensal_Porcentagem,Analise_rendimento,Analise
1004,,Anonimo,Tesouro Selic,1648.769937914996,7.115496387137743,117.31816536455476,Lucro
1027,2023-01-28,Andrei S.R.,Tesouro Selic,2563.547027518508,6.135257860278596,157.28022050776755,Lucro
1034,2023-02-04,Andrei S.R,Tesouro Selic,3233.8173681547837,5.1522075736891,166.6129833613443,Lucro
1037,2023-02-07,Anonimo,Tesouro Selic,0.0,7.212400848832651,0.0,Zero
1051,2023-02-21,Andrei S.R,Tesouro Selic,2007.7678672704833,8.630054444478585,173.27146006418926,Lucro
1065,2023-03-07,Andrei S.R.,Tesouro Selic,4034.3600428562345,9.82241298580118,396.2715047434848,Lucro
1070,2023-03-12,Andrei S.R.,Tesouro Selic,2542.093408262621,-0.9674535990451094,-24.593574169325212,Prejuizo
1082,2023-03-24,Andrei S.R.,Tesouro Selic,4216.841067112275,4.253595713392128,179.3673708712466,Lucro
1083,2023-03-25,Anonimo,Tesouro Selic,1222.594672589529,1.0275574832828411,12.562863048411055,Lucro
1088,2023-03-30,Andrei S.R.,Tesouro Selic,1205.3596943494415,2.6778244274642287,32.27741633409751,Lucro
1090,2023-04-01,Andrei S.R.,Tesouro Selic,2145.616324022061,13.12944221929094,281.70745551015074,Lucro
1100,2023-04-11,Anonimo,Tesouro Selic,0.0,12.877851661019154,0.0,Zero
1106,2023-04-17,Andrei S.R.,Tesouro Selic,4829.278851815796,-4.329351305284412,-209.0764470069112,Prejuizo
1117,2023-04-28,Andrei S.R.,Tesouro Selic,246.982943570702,-2.0016514530245244,-4.9437376787056975,Prejuizo
1134,2023-05-15,Andrei S.R.,Tesouro Selic,620.8636486492953,5.11777357768932,31.77439576405149,Lucro
1149,2023-05-30,Andrei S.R.,Tesouro Selic,2445.4770098497797,13.511370258135528,330.4174533783852,Lucro
1152,2023-06-02,Andrei S.R.,Tesouro Selic,979.9629176322638,14.696823979246693,144.02342506630407,Lucro
1158,2023-06-08,Andrei S.R,Tesouro Selic,213.04475419602704,6.825508714898586,14.541388264284096,Lucro
